source,detector,type,cond,beta,se,tstat,dfe,p,q,power
1,1,hbo,PDF:group_G,1.84317389561967,2.21081226214562,0.833708916482508,56,0.407987135321846,0.718057358166448,0.402351185055259
1,1,hbo,Video:group_G,0.162277047036992,2.13228895618624,0.0761046229528089,56,0.93960710473278,0.983379281419592,0.787575449844492
1,1,hbr,PDF:group_G,1.81705972059037,1.57667553135408,1.1524626877604,56,0.254026980611808,0.613882577945886,0.359319646937641
1,1,hbr,Video:group_G,0.241536958618158,1.5677626350032,0.154064750125688,56,0.878112568714833,0.969654577077145,0.684902563640294
1,3,hbo,PDF:group_G,-4.12862347445355,4.45025329243819,-0.927727750119044,56,0.357530265022757,0.668068843699116,0.387380404027125
1,3,hbo,Video:group_G,7.03639602326596,4.43621049025869,1.58612762823516,56,0.11834154574033,0.433707899671027,0.324103172664566
1,3,hbr,PDF:group_G,3.44713194175139,2.20261374671608,1.56501880862715,56,0.123212471497451,0.433707899671027,0.325430522898161
1,3,hbr,Video:group_G,0.130505354584943,2.21481753359779,0.0589237499727335,56,0.953222609284131,0.983379281419592,0.81856118480347
2,1,hbo,PDF:group_G,10.24609379778,5.07764970698184,2.01788118303858,56,0.0484045585198482,0.266693041669462,0.308151586547804
2,1,hbo,Video:group_G,-1.84017062814407,5.03984364610496,-0.365124546981977,56,0.716393858016258,0.865993577096942,0.536675322787318
2,1,hbr,PDF:group_G,1.87812871656117,2.54641429556687,0.737558189109631,56,0.463862342854989,0.752841530446483,0.420375862814165
2,1,hbr,Video:group_G,-0.565690098446585,2.56139364616356,-0.220852464162966,56,0.826010576861937,0.956433299524348,0.624628370153987
2,2,hbo,PDF:group_G,10.8377358013314,6.64982666860175,1.62977718690077,56,0.108761392797895,0.425689056300395,0.321453835303113
2,2,hbo,Video:group_G,-5.1897491947015,6.65246402257385,-0.780124353486331,56,0.438602676091666,0.742250682616665,0.412013822886782
2,2,hbr,PDF:group_G,3.91844786967453,2.81176864005243,1.39358829665355,56,0.168948329636182,0.530980464570859,0.33747495326543
2,2,hbr,Video:group_G,-1.52591402258013,2.84619504061783,-0.536124194162357,56,0.593995997381996,0.784440502746525,0.470958298005291
2,4,hbo,PDF:group_G,7.66446138231109,4.24225052837011,1.80669701872978,56,0.0761833499901292,0.337074044082897,0.31188472624817
2,4,hbo,Video:group_G,0.472101365473786,4.21614582645848,0.111974629176986,56,0.911243928728345,0.977920313757249,0.734302174972145
2,4,hbr,PDF:group_G,2.92269919512764,2.05129323803714,1.4248080873724,56,0.159762206971798,0.520706452352528,0.335098598713354
2,4,hbr,Video:group_G,2.30580559355965,2.07023509686032,1.11378924889091,56,0.270127394228154,0.613882577945886,0.363519299969532
3,2,hbo,PDF:group_G,31.9530383593572,6.12506783181231,5.21676481579516,56,2.74162318841954e-06,0.000241262840580919,0.995316945367121
3,2,hbo,Video:group_G,-15.4592313772238,6.10980055914912,-2.53023502609662,56,0.0142375770675364,0.139211864660356,0.503312500278179
3,2,hbr,PDF:group_G,6.92733119826362,3.01567608263105,2.29710718540428,56,0.0253736231699937,0.186073236579954,0.411497099390918
3,2,hbr,Video:group_G,4.09809257841171,3.05023219936245,1.34353462640263,56,0.184517992974624,0.559916668336789,0.341476957303553
3,5,hbo,PDF:group_G,12.3634188811814,5.8958151241608,2.09698211711501,56,0.0405233927229998,0.25471846854457,0.336294946656875
3,5,hbo,Video:group_G,-5.43239170188747,5.94061133659888,-0.914449943631158,56,0.364401187472245,0.668068843699116,0.389357568847624
3,5,hbr,PDF:group_G,3.04803040059153,3.06039594966252,0.995959493714415,56,0.323554021321151,0.637136277706767,0.377846548196877
3,5,hbr,Video:group_G,1.21486256501761,3.05566588121635,0.397577029768065,56,0.692453466207634,0.858252183468617,0.521827333438448
4,1,hbo,PDF:group_G,4.96644632826384,4.66239773064293,1.06521292587773,56,0.291350948968871,0.613882577945886,0.369129391757151
4,1,hbo,Video:group_G,-6.01194362869437,4.63222180522574,-1.29785314293718,56,0.199658277003655,0.56463698735631,0.345351650336743
4,1,hbr,PDF:group_G,2.1265445488847,1.97015126349535,1.07938135933374,56,0.285044880607799,0.613882577945886,0.367452591632643
4,1,hbr,Video:group_G,-1.05078554345003,1.97739747352315,-0.531398243155351,56,0.597244473682013,0.784440502746525,0.472425595641274
4,3,hbo,PDF:group_G,-2.3091684038628,4.92806062026603,-0.468575486747593,56,0.641192015902705,0.829777902932912,0.493564852963216
4,3,hbo,Video:group_G,-0.360325723182451,4.92067595629839,-0.0732268750030654,56,0.941886511350432,0.983379281419592,0.792467367853403
4,3,hbr,PDF:group_G,1.67601390089293,2.20233555818703,0.761016591982298,56,0.449839915513228,0.746904010663472,0.415687452310601
4,3,hbr,Video:group_G,-0.916714921186309,2.21627500002085,-0.41362868830704,56,0.680725869039509,0.858252183468617,0.514965353656855
4,4,hbo,PDF:group_G,4.17646096436262,4.0990674872176,1.01888075211895,56,0.312641336409875,0.637136277706767,0.374861392344801
4,4,hbo,Video:group_G,-4.06096908246433,4.09665336967626,-0.991289405279914,56,0.325808323827324,0.637136277706767,0.378467548983094
4,4,hbr,PDF:group_G,4.64334090898272,1.79165256182851,2.59165253794734,56,0.0121587054737488,0.139211864660356,0.527678548905775
4,4,hbr,Video:group_G,-2.25057511794305,1.78414104476208,-1.26143340771758,56,0.212382152434586,0.56635240649223,0.34860507431184
4,6,hbo,PDF:group_G,-1.49833051250261,7.78616902336544,-0.192434881391128,56,0.848097731320928,0.96925455008106,0.648131942086786
