source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
1,1,hbo,0,PDF:group_G-Video:group_G,1.68089684858267,1.44108197172173,1.16641307126646,56,0.248390913689595,0.312262862924063,0.357858948914484
1,1,hbr,0,PDF:group_G-Video:group_G,1.57552276197221,1.08454669365527,1.45270164133017,56,0.151887237885993,0.202516317181324,0.333048595358569
1,3,hbo,0,PDF:group_G-Video:group_G,-11.1650194977195,3.62955314751067,-3.07614161963079,56,0.00324118124242402,0.00838893968627393,0.709151478238499
1,3,hbr,0,PDF:group_G-Video:group_G,3.31662658716645,1.81783976038722,1.82448786710439,56,0.073414706550564,0.115365967436601,0.311014818897872
2,1,hbo,0,PDF:group_G-Video:group_G,12.0862644259241,3.61274935955903,3.34544780803707,56,0.00147143344965399,0.00462450512748396,0.793092414927935
2,1,hbr,0,PDF:group_G-Video:group_G,2.44381881500776,1.44886657686851,1.68671073929366,56,0.0972228194592684,0.14259346854026,0.318179934119924
2,2,hbo,0,PDF:group_G-Video:group_G,16.0274849960329,3.92136294263043,4.08722304732186,56,0.000140720986908387,0.000619172342396901,0.938326219615683
2,2,hbr,0,PDF:group_G-Video:group_G,5.44436189225466,2.03896479574944,2.67015982993151,56,0.00990437181290979,0.0198087436258196,0.558657690618723
2,4,hbo,0,PDF:group_G-Video:group_G,7.19236001683731,3.03132764519504,2.37267654924664,56,0.0211187038498222,0.0371689187756871,0.440969287649161
2,4,hbr,0,PDF:group_G-Video:group_G,0.616893601567985,1.3838029306977,0.44579584844278,56,0.657463546433197,0.672753396350248,0.502069946846088
3,2,hbo,0,PDF:group_G-Video:group_G,47.412269736581,4.55104612467911,10.4178838090603,56,1.01554924493185e-14,4.46841667770015e-13,0.999999999927395
3,2,hbr,0,PDF:group_G-Video:group_G,2.82923861985191,1.70577258103685,1.65862592194568,56,0.102782655362614,0.145885059224356,0.319770140792007
3,5,hbo,0,PDF:group_G-Video:group_G,17.7958105830689,3.85764199728642,4.6131316995167,56,2.35109810800533e-05,0.000147783309646049,0.979387026288021
3,5,hbr,0,PDF:group_G-Video:group_G,1.83316783557391,1.71972493411262,1.06596572464063,56,0.291013489749186,0.336962988130637,0.369039433202774
4,1,hbo,0,PDF:group_G-Video:group_G,10.9783899569582,3.46387948905962,3.16939142704951,56,0.00247607662161347,0.00726315809006618,0.739973543345216
4,1,hbr,0,PDF:group_G-Video:group_G,3.17733009233473,1.20332543305084,2.64045785542745,56,0.010708028521182,0.0204849241274785,0.546969888816757
4,3,hbo,0,PDF:group_G-Video:group_G,-1.94884268068035,3.9284997547857,-0.496078096557412,56,0.621780822144813,0.667276979862726,0.48391801704773
4,3,hbr,0,PDF:group_G-Video:group_G,2.59272882207924,1.51935183160443,1.70647033040485,56,0.093460974583513,0.141802857988778,0.317088946801964
