ROI,type,Contrast,Beta,SE,DF,T,p,q,power
r_mPFC,hbo,PDF:group_G-Video:group_G,15.5340754663072,1.87279910468972,56,8.29457651245561,2.53848863685344e-11,5.07697727370688e-11,0.99999980314841
r_mPFC,hbr,PDF:group_G-Video:group_G,4.92936246430127,0.81280375273888,56,6.06464038544476,1.19297896133488e-07,1.19297896133488e-07,0.999587254620457
l_mPFC,hbo,PDF:group_G-Video:group_G,11.5552649630658,2.01014751317222,56,5.74846616347591,3.88575791400714e-07,7.77151582801427e-07,0.998934764673928
l_mPFC,hbr,PDF:group_G-Video:group_G,2.64353756172956,1.06093042378367,56,2.4917162355489,0.0157006044332583,0.0157006044332583,0.488018591437442
r_lPFC,hbo,PDF:group_G-Video:group_G,-2.28772414346016,2.34725655508362,56,-0.974637450050132,0.333931577381443,0.560912173705323,0.380718233506901
r_lPFC,hbr,PDF:group_G-Video:group_G,-0.631814527069798,1.08006523109751,56,-0.584978118801008,0.560912173705323,0.560912173705323,0.456669173220551
l_lPFC,hbo,PDF:group_G-Video:group_G,10.8191044757688,2.20203334891537,56,4.91323370788086,8.16619091138719e-06,1.63323818227744e-05,0.989849700776917
l_lPFC,hbr,PDF:group_G-Video:group_G,-1.87062419400687,1.01387974176851,56,-1.8450158504439,0.0703256128542119,0.0703256128542119,0.310029973257674
